1,o,the (Feminine: a),eu fui o único filho que ingressou na faculdade.,I was the only child to enroll in college.,[sound:_o.mp3],
2,de,"of, from",José mostrou ser uma pessoa de mau carácter.,José showed himself to be a person of bad character.,[sound:_de.mp3],
3,em,"in, on",a cidade foi fundada em 573.,The city was founded in 573.,[sound:_em.mp3],
4,e,and,em 1902 ele é preso e mandado para a Sibéria.,"In 1902, he was arrested and sent to Siberia.",[sound:_e.mp3],
5,que,"that, than, what",o presidente anunciou que os Estados Unidos colocariam um satélite em órbita.,The president announced that the United States would put a satellite into orbit.,[sound:_que.mp3],
6,ser,to be (norm),o sangue é o fluido responsável pela circulação dos nutrientes.,Blood is the fluid responsible for the circulation of nutrients.,[sound:_ser.mp3],
7,um,"a, one",o coração é um músculo.,The heart is a muscle.,[sound:_um.mp3],
8,por,"by, through, for",o comunismo foi professado por Marx e Engels.,Communism was professed by Marx and Engels.,[sound:_por.mp3],
9,para,"to, for, in order to",as informações são comprimidas para serem transmitidas.,The information is com- pressed to be sent.,[sound:_para.mp3],
10,a,"to, at",depois fomos a Belém ver as estátuas.,"Afterwards, we went to Bethlehem to see the statues.",[sound:_a.mp3],
11,não,"no, not",não faça isso não.,"No, do not do that.",[sound:_não.mp3],
12,com,with,comeu pão com manteiga.,He ate bread with butter.,[sound:_com.mp3],
13,ter,to have,o seu programa teve um enorme sucesso.,His program had enormous success.,[sound:_ter.mp3],
14,se,reflexive pronoun,"o mulato não se vê como negro, no entanto é identificado como negro.","Mulatos don’t see themselves as black; however, they are identified as black.",[sound:_se.mp3],
15,o,"it, him, her, them, you (F a)","apesar da protecção do governo, elesofreu um atentado que o matou.","Despite the government’s protection, he was the victim of an assassination attempt which killed him.",[sound:_o.mp3],
16,seu,"his, her(s), their(s), your(s)",a sua cara era pálida e os seus vestidos humildes.,His face was pale and his clothing humble.,[sound:_seu.mp3],
17,como,"how, like, as",a mãe ainda se lembra como se faz?,"Mom, do you still remember how to do it?",[sound:_como.mp3],
18,estar,to be (change from norm),Hoje estou muito feliz com minha gravidez.,Today I am very happy with my pregnancy.,[sound:_estar.mp3],
19,mais,"more, most",ele precisava de mais tempo para concluir a tarefa.,He needed more time to complete the task.,[sound:_mais.mp3],
20,mas,but,Estas aves são más voadoras mas excelentes corredoras.,These birds don’t fly well but they are excellent runners.,[sound:_mas.mp3],
21,fazer,"to do, make",Os Aliados fizeram uma tentativa pouco convincente de ajudar os russos.,The Allies made a very unconvincing attempt to help the Russians.,[sound:_fazer.mp3],
22,poder,"can, be able to",Os eclipses lunares podem ser totais ou parciais.,Lunar eclipses can be total or partial.,[sound:_poder.mp3],
23,este,this,este meu relógio é incansável.,This watch of mine never stops.,[sound:_este.mp3],
24,ou,"or, either","se me reconhecerá ou não, isso se verá.",We will see whether he will recognize me or not.,[sound:_ou.mp3],
25,ele,"he, it (him in BP)","todos olharam para o rapaz espantados. Ele, porém, continuou.","Everyone looked at the young man in shock. He, however, continued on.",[sound:_ele.mp3],
26,esse,that,esse povo quase desapareceu.,That group of people almost disappeared.,[sound:_esse.mp3],
27,outro,"other, another",você deveria entregar essa tarefa a outra pessoa.,You should give this task to some other person.,[sound:_outro.mp3],
28,muito,"very, much, many",a dominação alemã não se prolongou por muito tempo.,The German domination didn’t last very long.,[sound:_muito.mp3],
29,haver,"“there is”, to have",em cada colmeia só pode haver uma única rainha.,In each beehive there can only be one queen.,[sound:_haver.mp3],
30,ir,to go,milhares de pessoas foram à praia para ver o golfinho.,Thousands of people went to the beach to see the dolphin.,[sound:_ir.mp3],
31,todo,"all, every","esse tipo de templo influenciou todo o Oriente Médio, principalmente o Egipto.","That type of temple influenced all of the Middle East, mainly Egypt.",[sound:_todo.mp3],
32,eu,I (OBJ = me),"digo-lhes que eu, pessoalmente, sou contra a interrupção da gravidez.",I tell you that I am personally against abortion.,[sound:_eu.mp3],
33,já,"already, now",o pior já passou.,The worst is already over.,[sound:_já.mp3],
34,dizer,"to tell, say",Queres que te diga verdade?,Would you like me to tell the truth?,[sound:_dizer.mp3],
35,ano,year,"por volta do ano 174 d.C., o povo dele se rebelou contra Roma.","Around the year 174 AD, his people revolted against Rome.",[sound:_ano.mp3],
36,dar,to give,"quando voltou, ele trouxe um boné e deu de presente para o amigo.","When he returned, he brought a baseball cap and gave it as a present to his friend.",[sound:_dar.mp3],
37,também,"also, too, as well",ele cobria o rosto com o lenço e também chorava!,He covered his face with the handkerchief and cried as well!,[sound:_também.mp3],
38,quando,when,ele ficava levemente irritado quando era procurado por mendigos.,He got a little irritated when he was approached by beggars.,[sound:_quando.mp3],
39,mesmo,same,a nova lei garante os mesmos direitos jurídicos e sociais aos casais homossexuai.,The new law guarantees the same judicial and social rights to homosexual couples.,[sound:_mesmo.mp3],
40,ver,to see,não vejo graça em nada.,I don’t see the humor in anything.,[sound:_ver.mp3],
41,até,"until, even, up to",esta língua tem estado em declínio há vários séculos até recentemente.,This language has been in decline for several centuries until recently.,[sound:_até.mp3],
42,dois,two,as células possuem dois meios de repro- dução: a mitose e a meiose.,Cells have two methods of reproduction: mitosis and meiosis.,[sound:_dois.mp3],
43,ainda,"still, yet",eles estavam ali por outro motivo que ela ainda não sabia.,They were there with some other motive in mind which she still didn’t know about.,[sound:_ainda.mp3],
44,isso,that (NEUT),em muitos casos fazer isso é impossível.,"In many cases, doing that is impossible.",[sound:_isso.mp3],
45,grande,"big, grand, great",outros documentos de grande importância são os escritos dos jesuítas.,Other documents of great importance include the writings of the Jesuits.,[sound:_grande.mp3],
46,vez,"(a) time, turn",ele pediu-lhe sete vezes que ela casassecom ele.,He asked her seven times to marry him.,[sound:_vez.mp3],
47,algum,some,"era-lhe preciso dizer alguma coisa, mas nenhuma palavra lhe aflorava aos lábios.","It was necessary that he say something, but no word came from his lips.",[sound:_algum.mp3],
48,ela,"she, it (her in BP)",ela é uma santa mulher.,She is a kind and holy woman.,[sound:_ela.mp3],
49,depois,after,"eles faziam esta visita geralmente aos domingos, depois do jantar.","They generally paid a visit on Sundays, after dinner.",[sound:_depois.mp3],
50,entre,"between, among",esta relação entre Portugal e os EUA mantém-se até hoje.,This relationship between Portugal and the United States is still maintained today.,[sound:_entre.mp3],
51,dia,day,no estabelecimento do velho trabalhavam noite e dia.,"In the old man’s store, they worked day and night.",[sound:_dia.mp3],
52,só,"only, just","A falar a verdade, só atravessei uma vez a fronteira.","To tell the truth, I’ve only crossed the border once.",[sound:_só.mp3],
53,aquele,that (more remote),eu escrevi aquele livro.,I wrote that book.,[sound:_aquele.mp3],
54,sobre,"about, over, above, upon",ela não tivera coragem de falar sobre a morte do marido.,She didn’t have the courage to talk about her husband’s death.,[sound:_sobre.mp3],
55,primeiro,first,a primeira coisa que tens a fazer é tomar um banho.,The first thing you have to do is  take a bath.,[sound:_primeiro.mp3],
56,ficar,"to stay, be located, get ADJ",por uns tempos você vai ficar aqui com a gente.,For a while you will stay here with us.,[sound:_ficar.mp3],
57,dever,"must, should, to owe",o patrão deve vários meses de salário aos trabalhadores da construção civil.,The boss owes several months’ salary to the construc- tion workers.,[sound:_dever.mp3],
58,passar,"to go through, spend (time)",os presos teriam que passar ainda por outra provação.,The prisoners would have to go through yet one more hardship.,[sound:_passar.mp3],
59,saber,to know (something),ela queria saber se é verdade o que descobri.,She wanted to know if what I discovered was true!,[sound:_saber.mp3],
60,assim,"thus, so, like this",assim fica difícil.,"This way, it’s hard.",[sound:_assim.mp3],
61,querer,to want,"nem tudo pode ser como a gente quer, Teresa.","Not everything can be the way we want, Teresa.",[sound:_querer.mp3],
62,onde,where,fica onde estás.,Stay where you are.,[sound:_onde.mp3],
63,novo,new,"em dezembro desse ano, foi adoptada uma nova Constituição.","In December of that year, a new Constitution was adopted.",[sound:_novo.mp3],
64,sem,without,a maioria deles é invisível sem a ajuda do microscópio.,Most of them are invisible without the help of a microscope.,[sound:_sem.mp3],
65,vir,to come,"logo atrás vinha outro riquexó a toda a velocidade, decidido a ultrapassar.","Right behind another rickshaw came at full speed, ready to pass.",[sound:_vir.mp3],
66,tempo,"time, weather",a obra levou um período de tempo enorme para ser concluída.,The work took an enormous amount of time to finish.,[sound:_tempo.mp3],
67,bem,"well, very",Simone perguntou:.,"Como está? Bem? Simone asked, “How are you? Well?”",[sound:_bem.mp3],
68,porque,because,"a região não se desenvolve, porque o domínio chinês é mal recebido.",The region has not developed because Chinese rule is not welcomed.,[sound:_porque.mp3],
69,meu,"my, mine",tenho saudades da minha família e do meu país.,I miss my family and my country.,[sound:_meu.mp3],
70,pessoa,person,ele era o tipo de pessoa em quem se pode confiar.,He was the kind of person in whom you can trust.,[sound:_pessoa.mp3],
71,coisa,thing,hoje as coisas estão melhores para a comu- nidade latina nos EUA.,"Today, things are better for the Latino community in the USA.",[sound:_coisa.mp3],
72,então,"then, so","a mãe dele, até então quieta, disse a primeira palavra desde que chegara.","His mother, who had been quiet until then, uttered her first word since she had arrived.",[sound:_então.mp3],
73,quem,"whom, who",o amigo a quem convidei nunca chegou a aparecer.,The friend whom I invited never showed up.,[sound:_quem.mp3],
74,sempre,always,a relação entre o pai e a mãe da criança sempre fora turbulenta.,The relationship between the child’s father and mother had always been problematic.,[sound:_sempre.mp3],
75,qual,which,ele assinou uma confissão na qual admitia ter matado um americano.,He signed a confession in which he admitted to having killed an American.,[sound:_qual.mp3],
76,chegar,to arrive,o dinheiro pode demorar dias a chegar ao seu destino.,The money could take days to arrive at its destination.,[sound:_chegar.mp3],
77,vida,life,"acho que, pela primeira vez na minha vida, compreendi-a.","I think that, for the first time in my life, I understood her.",[sound:_vida.mp3],
78,pouco,a little,quero fazer um pouco de exercício.,I want to do a little physical exercise.,[sound:_pouco.mp3],
79,homem,man,"no caso das famílias tradicionais, homens e mulheres têm papéis complementares.","In the case of traditional families, men and women have complementary roles.",[sound:_homem.mp3],
80,parte,part,esta análise divide-se em duas partes.,This analysis is divided in two parts.,[sound:_parte.mp3],
81,tudo,"everything, all",um dia fui vê-la e disse-lhe que ela devia contar tudo ao marido.,One day I went to see her and told her that she should tell everything to her husband.,[sound:_tudo.mp3],
82,casa,"house, home","eu não tinha vontade de ir; preferia ficar em casa, curtindo minha solidão.","I didn’t want to go; I preferred to stay home, enjoying my solitude.",[sound:_casa.mp3],
83,agora,now,então fale agora ou cale-se para sempre.,Then speak now or forever hold your peace.,[sound:_agora.mp3],
84,lhe,"to you, him, her",já não lembro que pergunta lhe fiz.,I can’t remember what question I asked him.,[sound:_lhe.mp3],
85,trabalho,work,o seu trabalho conduziu ao desenvolvimento das técnicas de raios X.,His work led to the development of X-Ray techniques.,[sound:_trabalho.mp3],
86,nosso,our,defendemos nossa família e as almas a nós confiadas.,We defend our family and the souls entrusted to us.,[sound:_nosso.mp3],
87,levar,"to carry (away), take (with oneself)",o avião ia levá-los a Bauru.,The airplane was going to carry them to Bauru.,[sound:_levar.mp3],
88,pois,"for, because, whereas",esta decisão mudou a história do Nepal pois introduziu a democracia.,This decision changed Nepal’s history for it introduced democracy.,[sound:_pois.mp3],
89,deixar,"to leave, allow","ele foi obrigado a deixar a cidade, mudando- se para Berlim.","He had to leave the city, so he moved to Berlin.",[sound:_deixar.mp3],
90,bom,good,em todos os lugares há árbitros bons e árbitros maus.,In every place there are good and bad referees.,[sound:_bom.mp3],
91,começar,"to begin, start",tudo ia acabar e começar de novo.,Everything was going to end and begin again.,[sound:_começar.mp3],
92,próprio,"own, very own","em 1899, ele fundou a sua própria empresa de produção de motores.","In 1899, he founded his own motor production company.",[sound:_próprio.mp3],
93,maior,"greater, larger",o Cairo é a maior cidade de África.,Cairo is the biggest city in Africa.,[sound:_maior.mp3],
94,caso,case,"o paciente, neste caso, deverá ser ligeiramente reclinado.","The patient, in this case, ought to be slightly reclined.",[sound:_caso.mp3],
95,falar,"to speak, talk",ela fala português.,She speaks Portuguese.,[sound:_falar.mp3],
96,país,country,o Brasil é um país jovem e sem compro- misso com o passado.,Brazil is a young country without a commitment to the past.,[sound:_país.mp3],
97,forma,"form, way",outra forma de arte bastante desenvolvida por eles era a escultura.,Another form of art which was highly developed by them was sculpture.,[sound:_forma.mp3],
98,cada,"each, every","o país encontra-se dividido em nove províncias, cada uma com um governador.","The country is divided in nine provinces, each one with a governor.",[sound:_cada.mp3],
99,hoje,today,sua teoria até hoje permanece praticamente intocável.,"Even today, his theory remains practically irrefutable.",[sound:_hoje.mp3],
100,nem,"neither, not, nor",nem venderam os legumes nem compraram o pão de que precisavam.,They neither sold the vegetables nor bought the bread they needed.,[sound:_nem.mp3],
